ad_count,dollar_spent,year,candidate,senate_race,state,region,special,party,incumbent,rating,rating_np,outcome,vote_pct,vote_margin
1730,842470,2020,Doug Jones,Alabama,Alabama,Southeast,0,Democratic,Incumbent,Lean Republican,Lean,Lost,0.4,-0.2
194,105606,2020,Tommy Tuberville,Alabama,Alabama,Southeast,0,Republican,Challenger,Lean Republican,Lean,Won,0.6,0.2
831,257269,2020,Dan Sullivan,Alaska,Alaska,West,0,Republican,Incumbent,Lean Republican,Lean,Won,0.54,0.13
285,664615,2020,Al Gross,Alaska,Alaska,West,0,Democratic,Challenger,Lean Republican,Lean,Lost,0.41,-0.13
1874,552626,2018,Kyrsten Sinema,Arizona,Arizona,Southwest,0,Democratic,Open,Tossup,Tossup,Won,0.5,0.02
380,391220,2018,Martha McSally,Arizona,Arizona,Southwest,0,Republican,Open,Tossup,Tossup,Lost,0.48,-0.02
1387,4693913,2020,Mark Kelly,Arizona (Special),Arizona,Southwest,1,Democratic,Challenger,Lean Democratic,Lean,Won,0.51,0.02
2618,1608282,2020,Martha McSally,Arizona (Special),Arizona,Southwest,1,Republican,Incumbent,Lean Democratic,Lean,Lost,0.49,-0.02
144,67456,2020,Tom Cotton,Arkansas,Arkansas,Southeast,0,Republican,Incumbent,Solid Republican,Safe,Won,0.67,0.33
123,45577,2018,Dianne Feinstein,California,California,Southwest,0,Democratic,Incumbent,Solid Democratic,Safe,Won,0.54,0.08
214,26986,2018,Kevin de León,California,California,Southwest,0,Democratic,Challenger,Solid Democratic,Safe,Lost,0.46,-0.08
251,347649,2020,Cory Gardner,Colorado,Colorado,West,0,Republican,Incumbent,Lean Democratic,Lean,Lost,0.44,-0.09
3304,2123196,2020,John Hickenlooper,Colorado,Colorado,West,0,Democratic,Challenger,Lean Democratic,Lean,Won,0.54,0.09
735,215765,2018,Chris Murphy,Connecticut,Connecticut,Northeast,0,Democratic,Incumbent,Solid Democratic,Safe,Won,0.6,0.2
35,19965,2018,Matthew Corey,Connecticut,Connecticut,Northeast,0,Republican,Challenger,Solid Democratic,Safe,Lost,0.39,-0.2
437,76263,2020,Chris Coons,Delaware,Delaware,Southeast,0,Democratic,Incumbent,Solid Democratic,Safe,Won,0.59,0.22
14,14086,2020,Lauren Witzke,Delaware,Delaware,Southeast,0,Republican,Challenger,Solid Democratic,Safe,Lost,0.38,-0.22
180,38920,2018,Rob Arlett,Delaware,Delaware,Southeast,0,Republican,Challenger,Solid Democratic,Safe,Lost,0.38,-0.22
35,43565,2018,Tom Carper,Delaware,Delaware,Southeast,0,Democratic,Incumbent,Solid Democratic,Safe,Won,0.6,0.22
1241,802359,2018,Bill Nelson,Florida,Florida,Southeast,0,Democratic,Incumbent,Tossup,Tossup,Lost,0.5,0
164,120236,2018,Rick Scott,Florida,Florida,Southeast,0,Republican,Challenger,Tossup,Tossup,Won,0.5,0
202,115998,2020,David Perdue,Georgia,Georgia,Southeast,0,Republican,Incumbent,Tossup,Tossup,Runoff,0.5,0.02
1293,1930507,2020,Jon Ossoff,Georgia,Georgia,Southeast,0,Democratic,Challenger,Tossup,Tossup,Runoff,0.48,-0.02
812,314688,2020,Kelly Loeffler,Georgia (Special),Georgia,Southeast,1,Republican,Incumbent,Tossup,Tossup,Runoff,0.26,-0.07
2077,1578323,2020,Raphael Warnock,Georgia (Special),Georgia,Southeast,1,Democratic,Challenger,Tossup,Tossup,Runoff,0.33,0.07
70,35630,2018,Mazie Hirono,Hawaii,Hawaii,West,0,Democratic,Incumbent,Solid Democratic,Safe,Won,0.71,0.42
18,4482,2018,Ron Curtis,Hawaii,Hawaii,West,0,Republican,Challenger,Solid Democratic,Safe,Lost,0.29,-0.42
35,5465,2020,Jim Risch,Idaho,Idaho,West,0,Republican,Incumbent,Solid Republican,Safe,Won,0.63,0.29
112,35488,2020,Paulette Jordan,Idaho,Idaho,West,0,Democratic,Challenger,Solid Republican,Safe,Lost,0.33,-0.29
49,161951,2020,Dick Durbin,Illinois,Illinois,Midwest,0,Democratic,Incumbent,Solid Democratic,Safe,Won,0.54,0.15
40,7460,2020,Mark Curran,Illinois,Illinois,Midwest,0,Republican,Challenger,Solid Democratic,Safe,Lost,0.4,-0.15
1279,412121,2018,Joe Donnelly,Indiana,Indiana,Midwest,0,Democratic,Incumbent,Tossup,Tossup,Lost,0.45,-0.06
423,307177,2018,Mike Braun,Indiana,Indiana,Midwest,0,Republican,Challenger,Tossup,Tossup,Won,0.51,0.06
512,545788,2020,Joni Ernst,Iowa,Iowa,Midwest,0,Republican,Incumbent,Tossup,Tossup,Won,0.52,0.07
1297,1260703,2020,Theresa Greenfield,Iowa,Iowa,Midwest,0,Democratic,Challenger,Tossup,Tossup,Lost,0.45,-0.07
317,552783,2020,Barbara Bollier,Kansas,Kansas,Midwest,0,Democratic,Open,Lean Republican,Lean,Lost,0.42,-0.12
326,109474,2020,Roger Marshall,Kansas,Kansas,Midwest,0,Republican,Open,Lean Republican,Lean,Won,0.54,0.12
1800,3214900,2020,Amy McGrath,Kentucky,Kentucky,Southeast,0,Democratic,Challenger,Likely Republican,Lean,Lost,0.38,-0.2
252,2611348,2020,Mitch McConnell,Kentucky,Kentucky,Southeast,0,Republican,Incumbent,Likely Republican,Lean,Won,0.58,0.2
181,169319,2020,Bill Cassidy,Louisiana,Louisiana,Southeast,0,Republican,Incumbent,Solid Republican,Safe,Won,0.59,0.4
833,118167,2020,Adrian Perkins,Louisiana,Louisiana,Southeast,0,Democratic,Challenger,Solid Republican,Safe,Lost,0.19,-0.4
3491,3426409,2020,Sara Gideon,Maine,Maine,Northeast,0,Democratic,Challenger,Tossup,Tossup,Won,0.51,0.08
735,611865,2020,Susan Collins,Maine,Maine,Northeast,0,Republican,Incumbent,Tossup,Tossup,Lost,0.43,-0.08
